phrase_id,composer,work_title,bars,key,time_sig,year,source,deduplication_applied,deduplication_notes_removed,notes,
phrase_01,Henry Purcell,Rondeau from Abdelazer,1-8,D minor,3/4,1695,IMSLP,FALSE,0,Opening phrase,
phrase_02,George Frideric Handel,Suite in G Major HWV 450 (VI Menuet),1-8,G major,3/4,1720,IMSLP,FALSE,0,Opening phrase,
phrase_03,Pietro Nardini,Adagio cantabile,1-8,A major,3/4,1770,IMSLP,TRUE,4,Opening phrase; duplicates from notation artifact,
phrase_04,Georg Philipp Telemann,Gigue à l'Angloise,,,,,IMSLP,FALSE,0,,
phrase_05,Wolfgang Amadeus Mozart,Piano Sonata No. 11 K.331,1-8,A major,6/8,1783,IMSLP,FALSE,0,Theme (Andante grazioso),
phrase_06,Arcangelo Corelli,Sarabande in D minor Op.5 No.7,1-16,D minor,3/4,1700,IMSLP,FALSE,0,Opening phrase with modulation,
phrase_07,Giuseppe Tartini,Violin Sonata in G minor (Devil's Trill),,G minor,,1713,IMSLP,FALSE,0,,
phrase_08,Joseph Haydn,Symphony No. 88 2nd movement Largo,1-8,D major,3/4,1787,IMSLP,TRUE,19,Piano reduction; 17 unison doublings removed,
